"tiempo","fecha"
554979.675001383,"10/03/2016"
678242.555003405,"11/03/2016"
705237.798998833,"12/03/2016"
880067.451002359,"13/03/2016"
828061.85599637,"14/03/2016"
731471.187993765,"15/03/2016"
676758.767999411,"16/03/2016"
760272.387001514,"17/03/2016"
514684.344002485,"18/03/2016"
404594.751001596,"19/03/2016"
121001.736000538,"20/03/2016"
509614.828002691,"21/03/2016"
726493.89599967,"22/03/2016"
466876.994003296,"23/03/2016"
551095.931002617,"24/03/2016"
74746.3909990788,"25/03/2016"
135333.175001621,"26/03/2016"
370786.874999762,"27/03/2016"
553729.865000248,"28/03/2016"
259095.200000286,"29/03/2016"
271257.745999575,"30/03/2016"
634525.536997795,"31/03/2016"
691297.044999123,"01/04/2016"
191329.62699914,"02/04/2016"
298812.165000677,"03/04/2016"
472050.802003384,"04/04/2016"
872206.370000362,"05/04/2016"
552990.537997484,"06/04/2016"
622377.391000509,"07/04/2016"
571463.205995083,"08/04/2016"
743899.72399807,"09/04/2016"
210997.585998774,"10/04/2016"
388725.018997669,"11/04/2016"
329870.825997829,"12/04/2016"
525339.260998964,"13/04/2016"
706722.784003735,"14/04/2016"
345955.112998009,"15/04/2016"
97810.4650001526,"16/04/2016"
1114152.86299944,"17/04/2016"
1004297.38799739,"18/04/2016"
420444.158000231,"19/04/2016"
945896.112002611,"20/04/2016"
558594.116999388,"21/04/2016"
632069.961999893,"22/04/2016"
504922.348999262,"23/04/2016"
805429.25399828,"24/04/2016"
876781.17099762,"25/04/2016"
794744.238002539,"26/04/2016"
742812.593001842,"27/04/2016"
751575.268994808,"28/04/2016"
638694.212998867,"29/04/2016"
487645.848998785,"30/04/2016"
990551.385000944,"01/05/2016"
911482.739999771,"02/05/2016"
1059282.35899758,"03/05/2016"
1304723.22099948,"04/05/2016"
646894.861001015,"05/05/2016"
488825.741999149,"06/05/2016"
300752.502003193,"07/05/2016"
365199.822999239,"08/05/2016"
628832.13800025,"09/05/2016"
593282.521004438,"10/05/2016"
750700.565994263,"11/05/2016"
656067.996997118,"12/05/2016"
327964.144002914,"13/05/2016"
127623.939001799,"14/05/2016"
505040.911999464,"15/05/2016"
853885.474999905,"16/05/2016"
3024667.40699935,"17/05/2016"
693505.88400197,"18/05/2016"
716506.383995771,"19/05/2016"
749210.146000385,"20/05/2016"
411051.596998692,"21/05/2016"
823292.988001585,"22/05/2016"
895750.334995985,"23/05/2016"
530042.025002956,"24/05/2016"
660475.561997652,"25/05/2016"
883545.240003109,"26/05/2016"
660201.182999134,"27/05/2016"
310096.964998484,"28/05/2016"
484545.191000223,"29/05/2016"
886536.042002201,"30/05/2016"
936782.167992353,"31/05/2016"
914298.944003582,"01/06/2016"
1274449.96799541,"02/06/2016"
910043.688000202,"03/06/2016"
797231.625000954,"04/06/2016"
691255.266998291,"05/06/2016"
734393.667998791,"06/06/2016"
1138804.09500337,"07/06/2016"
991910.790994644,"08/06/2016"
808478.533999443,"09/06/2016"
1132740.03200316,"10/06/2016"
558299.077999592,"11/06/2016"
336204.305001259,"12/06/2016"
794611.089000463,"13/06/2016"
798263.453994274,"14/06/2016"
277529.786000013,"15/06/2016"
758601.145998478,"16/06/2016"
577363.119000912,"17/06/2016"
665644.491000891,"18/06/2016"
698756.409998655,"19/06/2016"
1091343.73699808,"20/06/2016"
1059037.98700333,"21/06/2016"
958314.879999638,"22/06/2016"
671401.392003059,"23/06/2016"
455623.648999691,"24/06/2016"
588734.90199995,"25/06/2016"
628311.388999939,"26/06/2016"
883066.852003336,"27/06/2016"
831142.538003206,"28/06/2016"
1603022.40299892,"29/06/2016"
908926.309004068,"30/06/2016"
688246.411999226,"01/07/2016"
616743.189000607,"02/07/2016"
489036.700001717,"03/07/2016"
1049475.91799641,"04/07/2016"
907070.170996428,"05/07/2016"
827597.090998411,"06/07/2016"
1017258.92599821,"07/07/2016"
918099.710000277,"08/07/2016"
554755.340001583,"09/07/2016"
493804.167001486,"10/07/2016"
944509.848001719,"11/07/2016"
968878.755001545,"12/07/2016"
953690.234995842,"13/07/2016"
1045975.12300324,"14/07/2016"
827029.415994406,"15/07/2016"
