"sexo","edad","tiempo","fecha"
"0","(45,60]",119982.263999224,"22/08/2015"
"0","(60,Inf]",51736.4000005722,"22/08/2015"
"1","(0,18]",2974.83699965477,"22/08/2015"
"1","(18,30]",6573.47700023651,"22/08/2015"
"1","(30,45]",69441.4970006943,"22/08/2015"
"1","(45,60]",68084.0889999866,"22/08/2015"
"1","(60,Inf]",8047.33399987221,"22/08/2015"
"0","(0,18]",4940.84699988365,"23/08/2015"
"0","(18,30]",14079.9480004311,"23/08/2015"
"0","(30,45]",84513.588000536,"23/08/2015"
"0","(45,60]",74491.7459998131,"23/08/2015"
"0","(60,Inf]",40753.7059988976,"23/08/2015"
"1","(0,18]",3559.87699985504,"23/08/2015"
"1","(18,30]",18080.1990001202,"23/08/2015"
"1","(30,45]",37502.071000576,"23/08/2015"
"1","(45,60]",31070.8740003109,"23/08/2015"
"1","(60,Inf]",3826.46700000763,"23/08/2015"
"0","(0,18]",5394.48200011253,"24/08/2015"
"0","(18,30]",70409.8540000916,"24/08/2015"
"0","(30,45]",239359.244998455,"24/08/2015"
"0","(45,60]",165053.962001085,"24/08/2015"
"0","(60,Inf]",106842.126000166,"24/08/2015"
"1","(18,30]",49957.6369996071,"24/08/2015"
"1","(30,45]",118158.318000078,"24/08/2015"
"1","(45,60]",112809.271998644,"24/08/2015"
"1","(60,Inf]",22620.7039999962,"24/08/2015"
"0","(0,18]",1742.98399996758,"25/08/2015"
"0","(18,30]",60250.8880000114,"25/08/2015"
"0","(30,45]",353316.654999256,"25/08/2015"
"0","(45,60]",262656.184999466,"25/08/2015"
"0","(60,Inf]",125695.297000408,"25/08/2015"
"1","(0,18]",778.523999929428,"25/08/2015"
"1","(18,30]",65800.8210000992,"25/08/2015"
"1","(30,45]",134626.230000973,"25/08/2015"
"1","(45,60]",264193.324001789,"25/08/2015"
"1","(60,Inf]",13149.1560001373,"25/08/2015"
"0","(0,18]",3887.64800000191,"26/08/2015"
"0","(18,30]",39119.8480010033,"26/08/2015"
"0","(30,45]",101631.111000061,"26/08/2015"
"0","(45,60]",102739.468999386,"26/08/2015"
"0","(60,Inf]",61225.949000597,"26/08/2015"
"1","(18,30]",26209.2880003452,"26/08/2015"
"1","(30,45]",59704.8390007019,"26/08/2015"
"1","(45,60]",66932.922999382,"26/08/2015"
"1","(60,Inf]",11477.4359998703,"26/08/2015"
"0","(0,18]",10157.8630003929,"27/08/2015"
"0","(18,30]",57057.5349998474,"27/08/2015"
"0","(30,45]",121719.923997164,"27/08/2015"
"0","(45,60]",90848.6439990997,"27/08/2015"
"0","(60,Inf]",53242.223000288,"27/08/2015"
"1","(0,18]",7915.35299992561,"27/08/2015"
"1","(18,30]",18259.4700007439,"27/08/2015"
"1","(30,45]",49484.9879999161,"27/08/2015"
"1","(45,60]",59321.3870000839,"27/08/2015"
"1","(60,Inf]",2770.4319999218,"27/08/2015"
"0","(0,18]",776.296000003815,"28/08/2015"
"0","(18,30]",45958.6180005074,"28/08/2015"
"0","(30,45]",242808.406001091,"28/08/2015"
"0","(45,60]",110224.061000109,"28/08/2015"
"0","(60,Inf]",65877.1240005493,"28/08/2015"
"1","(0,18]",803.599999904633,"28/08/2015"
"1","(18,30]",18883.3079993725,"28/08/2015"
"1","(30,45]",58013.5810000896,"28/08/2015"
"1","(45,60]",54405.3470005989,"28/08/2015"
"1","(60,Inf]",8548.64399933815,"28/08/2015"
"0","(18,30]",44418.3420007229,"29/08/2015"
"0","(30,45]",164401.745001078,"29/08/2015"
"0","(45,60]",109676.087999821,"29/08/2015"
"0","(60,Inf]",67301.0459997654,"29/08/2015"
"1","(18,30]",23267.4660003185,"29/08/2015"
"1","(30,45]",152185.344999313,"29/08/2015"
"1","(45,60]",103160.107999325,"29/08/2015"
"1","(60,Inf]",10625.2509999275,"29/08/2015"
"0","(18,30]",31472.6719999313,"30/08/2015"
"0","(30,45]",119515.864999294,"30/08/2015"
"0","(45,60]",125560.513001204,"30/08/2015"
"0","(60,Inf]",86531.2760002613,"30/08/2015"
"1","(18,30]",53841.7539999485,"30/08/2015"
"1","(30,45]",145162.039999485,"30/08/2015"
"1","(45,60]",137167.342000723,"30/08/2015"
"1","(60,Inf]",16314.871999979,"30/08/2015"
"0","(0,18]",646.217000007629,"31/08/2015"
"0","(18,30]",30051.6400001049,"31/08/2015"
"0","(30,45]",137324.367000341,"31/08/2015"
