"sexo","tiempo","fecha"
"0",420828.424002647,"05/05/2016"
"1",190014.245998621,"05/05/2016"
"0",261384.25199914,"06/05/2016"
"1",108720.950000763,"06/05/2016"
"0",158916.997001886,"07/05/2016"
"1",141281.877001047,"07/05/2016"
"0",228168.875999928,"08/05/2016"
"1",135433.200999737,"08/05/2016"
"0",466780.195999622,"09/05/2016"
"1",160795.039000511,"09/05/2016"
"0",333077.097001791,"10/05/2016"
"1",145464.310002089,"10/05/2016"
"0",527203.140995502,"11/05/2016"
"1",221298.137998343,"11/05/2016"
"0",490279.130998135,"12/05/2016"
"1",164303.869999886,"12/05/2016"
"0",114544.265002728,"13/05/2016"
"1",79965.5969998837,"13/05/2016"
"0",70549.6580011845,"14/05/2016"
"1",21725.0680003166,"14/05/2016"
"0",316495.22699976,"15/05/2016"
"1",186107.752000809,"15/05/2016"
"0",510505.837999105,"16/05/2016"
"1",308913.338000298,"16/05/2016"
"0",414110.503999472,"17/05/2016"
"1",372035.442999601,"17/05/2016"
"0",448319.417000771,"18/05/2016"
"1",201775.297000647,"18/05/2016"
"0",497606.436996222,"19/05/2016"
"1",216298.68900013,"19/05/2016"
"0",484160.655998945,"20/05/2016"
"1",263166.294001341,"20/05/2016"
"0",178440.950999975,"21/05/2016"
"1",107573.809999228,"21/05/2016"
"0",468721.233999491,"22/05/2016"
"1",316479.429002523,"22/05/2016"
"0",602003.247997522,"23/05/2016"
"1",292051.603998423,"23/05/2016"
"0",371566.581002474,"24/05/2016"
"1",157678.813000202,"24/05/2016"
"0",463883.754000187,"25/05/2016"
"1",193071.196998119,"25/05/2016"
"0",613113.995001078,"26/05/2016"
"1",267554.478002071,"26/05/2016"
"0",466921.397999048,"27/05/2016"
"1",191749.549000025,"27/05/2016"
"0",188443.691999197,"28/05/2016"
"1",90528.8909993172,"28/05/2016"
"0",308127.805999517,"29/05/2016"
"1",174904.876000643,"29/05/2016"
"0",622770.035999775,"30/05/2016"
"1",260137.392002583,"30/05/2016"
"0",622013.038995028,"31/05/2016"
"1",313441.25299716,"31/05/2016"
"0",607286.614998579,"01/06/2016"
"1",304162.943004608,"01/06/2016"
"0",750219.010997772,"02/06/2016"
"1",325079.543997288,"02/06/2016"
"0",621976.128997803,"03/06/2016"
"1",285082.984003544,"03/06/2016"
"0",481054.151002169,"04/06/2016"
"1",233521.265999079,"04/06/2016"
"0",442102.195998192,"05/06/2016"
"1",247940.04300046,"05/06/2016"
"0",526974.724000692,"06/06/2016"
"1",206300.531998634,"06/06/2016"
"0",770462.475002527,"07/06/2016"
"1",364718.353001118,"07/06/2016"
"0",683805.756996632,"08/06/2016"
"1",305486.755999565,"08/06/2016"
"0",588718.894999504,"09/06/2016"
"1",216974.128999949,"09/06/2016"
"0",616976.001002073,"10/06/2016"
"1",290477.15500164,"10/06/2016"
"0",330376.941000938,"11/06/2016"
"1",226412.31999898,"11/06/2016"
"0",179563.474000931,"12/06/2016"
"1",155950.82700038,"12/06/2016"
"0",475161.250001192,"13/06/2016"
"1",207750.570999384,"13/06/2016"
"0",539041.110996246,"14/06/2016"
"1",224124.998998642,"14/06/2016"
"0",206478.911000729,"15/06/2016"
"1",70582.2199997902,"15/06/2016"
"0",463158.845000982,"16/06/2016"
"1",189741.506997585,"16/06/2016"
"0",381915.925998688,"17/06/2016"
"1",192688.834001541,"17/06/2016"
"0",420735.470000267,"18/06/2016"
"1",243247.71400094,"18/06/2016"
"0",421406.288999319,"19/06/2016"
"1",274396.260998964,"19/06/2016"
"0",736276.904001474,"20/06/2016"
"1",350790.725996733,"20/06/2016"
"0",626973.016000509,"21/06/2016"
"1",390097.800003767,"21/06/2016"
"0",636505.984998226,"22/06/2016"
"1",318663.392999649,"22/06/2016"
"0",513667.080999613,"23/06/2016"
"1",153680.106001616,"23/06/2016"
"0",300374.580000401,"24/06/2016"
"1",153336.669999361,"24/06/2016"
"0",362064.089001179,"25/06/2016"
"1",134092.537998915,"25/06/2016"
"0",383267.179998875,"26/06/2016"
"1",198891.279999971,"26/06/2016"
"0",570301.302002907,"27/06/2016"
"1",266137.253001213,"27/06/2016"
"0",556785.486001253,"28/06/2016"
"1",270548.598999262,"28/06/2016"
"0",853983.55399847,"29/06/2016"
"1",397202.629999638,"29/06/2016"
"0",617158.095003605,"30/06/2016"
"1",289232.907999754,"30/06/2016"
"0",466757.571999073,"01/07/2016"
"1",151503.718999624,"01/07/2016"
"0",417215.085000992,"02/07/2016"
"1",197577.571998835,"02/07/2016"
"0",309168.246999502,"03/07/2016"
"1",178527.066002369,"03/07/2016"
"0",614013.597000599,"04/07/2016"
"1",312386.448995829,"04/07/2016"
"0",621074.80599761,"05/07/2016"
"1",283093.858999729,"05/07/2016"
"0",516121.145999193,"06/07/2016"
"1",278954.399001598,"06/07/2016"
"0",639355.686996698,"07/07/2016"
"1",374183.929001331,"07/07/2016"
"0",539494.926997185,"08/07/2016"
"1",329714.324003696,"08/07/2016"
"0",323879.334000349,"09/07/2016"
"1",189543.097002029,"09/07/2016"
"0",311641.432000399,"10/07/2016"
"1",180198.253000736,"10/07/2016"
"0",561135.633000851,"11/07/2016"
"1",315569.470000505,"11/07/2016"
"0",551434.360000134,"12/07/2016"
"1",358967.297001123,"12/07/2016"
"0",565956.627997398,"13/07/2016"
"1",303375.67399931,"13/07/2016"
"0",593692.288003683,"14/07/2016"
"1",326476.846000195,"14/07/2016"
"0",589232.49399662,"15/07/2016"
"1",235630.399999619,"15/07/2016"
